116,Harrison Barnes,SF,23,GSW,0.466,0.383,0.508,0.761,1.2,3.8,1.8,0.6,0.2,0.9,11.7
117,Jeff Green,SF,29,TOT,0.43,0.315,0.47,0.745,0.9,3.2,1.7,0.7,0.5,1.2,11.7
118,Jeremy Lin,SG,27,CHO,0.412,0.336,0.446,0.815,0.5,2.7,3,0.7,0.5,1.9,11.7
119,Marvin Williams,PF,29,CHO,0.452,0.402,0.504,0.833,1.6,4.9,1.4,0.7,1,0.8,11.7
120,Kent Bazemore,SF,26,ATL,0.441,0.357,0.502,0.815,0.4,4.7,2.3,1.3,0.5,1.8,11.6
121,Otto Porter,SF,22,WAS,0.473,0.367,0.536,0.754,1.3,3.9,1.6,1.4,0.4,0.9,11.6
122,Michael Carter-Williams,PG,24,MIL,0.452,0.273,0.472,0.654,0.9,4.2,5.2,1.5,0.8,2.8,11.5
123,Jordan Hamilton,SF,25,NOP,0.422,0.289,0.507,0.667,1.1,4.5,2.3,0.7,0.3,1.5,11.4
124,Julius Randle,PF,21,LAL,0.429,0.278,0.436,0.715,2.1,8.1,1.8,0.7,0.4,1.8,11.3
125,Bojan Bogdanovic,SF,26,BRK,0.433,0.382,0.474,0.833,0.5,2.8,1.3,0.4,0.1,1.5,11.2
126,Sean Kilpatrick,SG,26,TOT,0.456,0.342,0.538,0.896,0.4,1.4,0.9,0.4,0.1,1,11.1
127,Nerlens Noel,C,21,PHI,0.521,0.5,0.521,0.59,2.3,5.8,1.8,1.8,1.5,2.4,11.1
128,Isaiah Canaan,SG,24,PHI,0.36,0.363,0.354,0.833,0.3,2,1.8,0.7,0.2,1.2,11
129,DeMarre Carroll,SF,29,TOR,0.389,0.39,0.388,0.6,1.2,3.5,1,1.7,0.2,1.1,11
130,Dennis Schroder,PG,22,ATL,0.421,0.322,0.465,0.791,0.3,2.2,4.4,0.9,0.1,2.3,11
131,T.J. Warren,SF,22,PHO,0.501,0.4,0.52,0.703,1.2,1.9,0.9,0.8,0.3,0.7,11
132,J.J. Barea,PG,31,DAL,0.446,0.385,0.481,0.771,0.4,1.7,4.1,0.4,0,1.5,10.9
133,Elfrid Payton,PG,21,ORL,0.436,0.326,0.451,0.589,1.1,2.5,6.4,1.2,0.3,2.4,10.7
134,Trey Burke,PG,23,UTA,0.413,0.344,0.46,0.817,0.3,1.5,2.3,0.5,0.1,1.3,10.6
135,Norris Cole,PG,27,NOP,0.405,0.324,0.427,0.8,0.2,3.1,3.7,0.8,0.1,1.7,10.6
136,Shabazz Muhammad,SF,23,MIN,0.465,0.289,0.516,0.764,1.2,2,0.6,0.3,0.1,0.9,10.5
137,Evan Turner,SG,27,BOS,0.456,0.241,0.482,0.827,0.6,4.3,4.4,1,0.3,2.1,10.5
138,Jerryd Bayless,SG,27,MIL,0.423,0.437,0.408,0.778,0.4,2.3,3.1,0.9,0.2,1.4,10.4
139,Ersan Ilyasova,PF,28,TOT,0.424,0.371,0.458,0.721,1.9,3.5,0.9,0.7,0.4,1,10.4
140,Mario Chalmers,PG,29,TOT,0.41,0.309,0.461,0.832,0.4,2.2,3.8,1.4,0.2,1.8,10.3
141,Allen Crabbe,SG,23,POR,0.459,0.393,0.506,0.867,0.3,2.3,1.2,0.8,0.2,0.8,10.3
142,Robin Lopez,C,27,NYK,0.539,0,0.54,0.795,3.3,4.1,1.4,0.2,1.6,1.6,10.3
143,Jared Sullinger,PF,23,BOS,0.435,0.282,0.458,0.64,2.4,5.9,2.3,0.9,0.6,1.3,10.3
144,Myles Turner,C,19,IND,0.498,0.214,0.506,0.727,1.1,4.4,0.7,0.4,1.4,1.1,10.3
145,Al-Farouq Aminu,SF,25,POR,0.416,0.361,0.468,0.737,1.2,4.9,1.7,0.9,0.6,1.5,10.2
146,Marco Belinelli,SG,29,SAC,0.386,0.306,0.456,0.833,0.1,1.6,1.9,0.5,0,1.2,10.2
147,Gorgui Dieng,C,26,MIN,0.532,0.3,0.54,0.827,1.9,5.2,1.7,1.1,1.2,1.7,10.1
148,Ricky Rubio,PG,25,MIN,0.374,0.326,0.396,0.847,0.5,3.8,8.7,2.1,0.1,2.5,10.1
149,Matt Barnes,SF,35,MEM,0.381,0.322,0.449,0.804,1.1,4.4,2.1,1,0.8,1.6,10
150,Nikola Jokic,C,20,DEN,0.512,0.333,0.541,0.811,2.3,4.7,2.4,1,0.6,1.3,10
151,Kelly Olynyk,C,24,BOS,0.455,0.405,0.486,0.75,1,3,1.5,0.8,0.5,1.1,10
152,Patrick Beverley,PG,27,HOU,0.434,0.4,0.472,0.682,1,2.5,3.4,1.3,0.4,1.3,9.9
153,Terrence Ross,SF,24,TOR,0.431,0.386,0.484,0.79,0.3,2.2,0.8,0.7,0.3,0.6,9.9
154,Ramon Sessions,PG,29,WAS,0.473,0.324,0.507,0.756,0.3,2.2,2.9,0.6,0.1,1.4,9.9
155,Carl Landry,PF,32,PHI,0.556,0.462,0.561,0.736,1.4,2.7,0.9,0.3,0.3,0.6,9.8
156,Gary Neal,SG,31,WAS,0.465,0.41,0.489,0.855,0.3,1.8,1.2,0.5,0,0.7,9.8
157,Hollis Thompson,SG,24,PHI,0.397,0.38,0.42,0.719,0.7,2.8,1.3,0.5,0.3,1,9.8
158,Dion Waiters,SG,24,OKC,0.399,0.358,0.421,0.713,0.5,2.1,2,1,0.2,1.5,9.8
159,Jerami Grant,SF,21,PHI,0.419,0.24,0.477,0.658,1.3,3.4,1.8,0.7,1.6,1.4,9.7
160,Marcus Thornton,SG,28,TOT,0.399,0.337,0.46,0.848,0.6,1.8,1.4,0.8,0.1,0.8,9.7
161,Manu Ginobili,SG,38,SAS,0.453,0.391,0.496,0.813,0.4,2.1,3.1,1.1,0.2,1.7,9.6
162,Courtney Lee,SG,30,TOT,0.454,0.378,0.493,0.839,0.4,2.2,1.7,1.1,0.4,0.9,9.6
163,Raymond Felton,PG,31,DAL,0.406,0.282,0.463,0.847,0.5,2.8,3.6,0.9,0.2,1.5,9.5
164,Doug McDermott,SF,24,CHI,0.452,0.425,0.47,0.857,0.5,2,0.7,0.2,0.1,0.7,9.4
165,Ian Mahinmi,C,29,IND,0.589,,0.589,0.587,1.9,5.2,1.5,0.9,1.1,1.4,9.3
166,Kevin Martin,SG,32,TOT,0.372,0.36,0.378,0.89,0.3,1.7,1.1,0.5,0.1,1,9.3
167,Derrick Williams,SF,24,NYK,0.45,0.293,0.506,0.758,0.6,3.1,0.9,0.4,0.1,0.8,9.3
168,Jordan Farmar,PG,29,MEM,0.42,0.356,0.473,1,0.3,1.8,3.1,1.3,0.2,1.5,9.2
169,Aaron Gordon,PF,20,ORL,0.473,0.296,0.531,0.668,2,4.5,1.6,0.8,0.7,0.8,9.2
170,Nene Hilario,PF,33,WAS,0.544,0,0.549,0.578,0.9,3.6,1.7,0.9,0.5,1.3,9.2
